User Input,Bot Response,Intent,Entities
What is the return policy for smartphone?,The return policy for smartphone is 30 days money back guarantee.,ask_return_policy,product:smartphone
What is the return policy for laptop?,The return policy for laptop is 30 days money back guarantee.,ask_return_policy,product:laptop
What is the return policy for smartphone?,The return policy for smartphone is 30 days money back guarantee.,ask_return_policy,product:smartphone
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What are the warranty conditions for headphones?,The warranty for headphones lasts one year and covers manufacturing defects.,ask_warranty_info,product:headphones
What are the warranty conditions for blender?,The warranty for blender lasts one year and covers manufacturing defects.,ask_warranty_info,product:blender
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What is the return policy for book?,The return policy for book is 30 days money back guarantee.,ask_return_policy,product:book
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What is the return policy for book?,The return policy for book is 30 days money back guarantee.,ask_return_policy,product:book
What is the return policy for chair?,The return policy for chair is 30 days money back guarantee.,ask_return_policy,product:chair
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What is the return policy for camera?,The return policy for camera is 30 days money back guarantee.,ask_return_policy,product:camera
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What is the return policy for smartphone?,The return policy for smartphone is 30 days money back guarantee.,ask_return_policy,product:smartphone
What are the warranty conditions for camera?,The warranty for camera lasts one year and covers manufacturing defects.,ask_warranty_info,product:camera
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What are the warranty conditions for watch?,The warranty for watch lasts one year and covers manufacturing defects.,ask_warranty_info,product:watch
What is the return policy for smartphone?,The return policy for smartphone is 30 days money back guarantee.,ask_return_policy,product:smartphone
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What are the warranty conditions for watch?,The warranty for watch lasts one year and covers manufacturing defects.,ask_warranty_info,product:watch
What is the return policy for watch?,The return policy for watch is 30 days money back guarantee.,ask_return_policy,product:watch
What are the warranty conditions for laptop?,The warranty for laptop lasts one year and covers manufacturing defects.,ask_warranty_info,product:laptop
What are the warranty conditions for desk?,The warranty for desk lasts one year and covers manufacturing defects.,ask_warranty_info,product:desk
What is the return policy for watch?,The return policy for watch is 30 days money back guarantee.,ask_return_policy,product:watch
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What is the return policy for chair?,The return policy for chair is 30 days money back guarantee.,ask_return_policy,product:chair
What are the warranty conditions for backpack?,The warranty for backpack lasts one year and covers manufacturing defects.,ask_warranty_info,product:backpack
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What is the return policy for headphones?,The return policy for headphones is 30 days money back guarantee.,ask_return_policy,product:headphones
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What is the return policy for camera?,The return policy for camera is 30 days money back guarantee.,ask_return_policy,product:camera
What is the return policy for camera?,The return policy for camera is 30 days money back guarantee.,ask_return_policy,product:camera
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What are the warranty conditions for laptop?,The warranty for laptop lasts one year and covers manufacturing defects.,ask_warranty_info,product:laptop
What is the return policy for chair?,The return policy for chair is 30 days money back guarantee.,ask_return_policy,product:chair
What are the warranty conditions for blender?,The warranty for blender lasts one year and covers manufacturing defects.,ask_warranty_info,product:blender
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What is the return policy for blender?,The return policy for blender is 30 days money back guarantee.,ask_return_policy,product:blender
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What are the warranty conditions for headphones?,The warranty for headphones lasts one year and covers manufacturing defects.,ask_warranty_info,product:headphones
What is the return policy for desk?,The return policy for desk is 30 days money back guarantee.,ask_return_policy,product:desk
What are the warranty conditions for smartphone?,The warranty for smartphone lasts one year and covers manufacturing defects.,ask_warranty_info,product:smartphone
What is the return policy for blender?,The return policy for blender is 30 days money back guarantee.,ask_return_policy,product:blender
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What are the warranty conditions for smartphone?,The warranty for smartphone lasts one year and covers manufacturing defects.,ask_warranty_info,product:smartphone
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What are the warranty conditions for watch?,The warranty for watch lasts one year and covers manufacturing defects.,ask_warranty_info,product:watch
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What is the return policy for watch?,The return policy for watch is 30 days money back guarantee.,ask_return_policy,product:watch
What is the return policy for smartphone?,The return policy for smartphone is 30 days money back guarantee.,ask_return_policy,product:smartphone
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What is the return policy for watch?,The return policy for watch is 30 days money back guarantee.,ask_return_policy,product:watch
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What is the return policy for smartphone?,The return policy for smartphone is 30 days money back guarantee.,ask_return_policy,product:smartphone
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What are the warranty conditions for smartphone?,The warranty for smartphone lasts one year and covers manufacturing defects.,ask_warranty_info,product:smartphone
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What are the warranty conditions for backpack?,The warranty for backpack lasts one year and covers manufacturing defects.,ask_warranty_info,product:backpack
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What is the return policy for headphones?,The return policy for headphones is 30 days money back guarantee.,ask_return_policy,product:headphones
What is the return policy for camera?,The return policy for camera is 30 days money back guarantee.,ask_return_policy,product:camera
What is the return policy for chair?,The return policy for chair is 30 days money back guarantee.,ask_return_policy,product:chair
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What is the return policy for book?,The return policy for book is 30 days money back guarantee.,ask_return_policy,product:book
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What is the return policy for book?,The return policy for book is 30 days money back guarantee.,ask_return_policy,product:book
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
How long does delivery take?,Delivery usually takes 3-5 business days.,ask_delivery_time,
What are the warranty conditions for chair?,The warranty for chair lasts one year and covers manufacturing defects.,ask_warranty_info,product:chair
What is the return policy for blender?,The return policy for blender is 30 days money back guarantee.,ask_return_policy,product:blender
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
Can I change my delivery address?,You can change the address if the order hasn't been shipped yet.,request_address_change,
What are the warranty conditions for camera?,The warranty for camera lasts one year and covers manufacturing defects.,ask_warranty_info,product:camera
What is the return policy for desk?,The return policy for desk is 30 days money back guarantee.,ask_return_policy,product:desk
